0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,0,0,0,0,46,52,85,0,0,0,0,0
0,0,0,0,0,0,36,44,78,0,0,0,0,0
0,0,0,0,0,0,39,55,87,0,0,0,0,0
0,0,0,0,0,0,57,64,97,0,0,0,0,0
0,0,0,0,0,0,57,63,97,0,0,0,0,0
0,0,0,0,0,0,64,69,104,0,0,0,0,0
0,0,0,0,0,0,67,81,116,0,0,0,0,0
0,0,0,0,0,0,65,82,118,0,0,0,0,0
0,0,0,0,0,0,61,81,115,0,0,0,0,0
0,0,0,0,0,0,59,75,111,0,0,0,0,0
0,0,0,0,0,0,25,31,56,0,0,0,0,0
0,0,0,0,0,0,51,60,92,0,0,0,0,0
0,0,0,0,0,0,37,48,81,0,0,0,0,0
0,0,0,0,0,0,57,62,85,0,0,0,0,0
0,0,0,0,0,0,41,51,83,0,0,0,0,0
0,0,0,0,0,0,43,59,92,0,0,0,0,0
0,0,0,0,0,0,66,74,97,0,0,0,0,0
0,0,0,0,0,0,38,60,82,0,0,0,0,0
0,0,0,0,0,0,41,49,73,0,0,0,0,0
0,0,0,0,0,0,74,81,102,0,0,0,0,0
0,0,0,0,0,0,51,70,90,0,0,0,0,0
0,0,0,0,0,0,51,72,93,0,0,0,0,0
0,0,0,0,0,0,51,73,94,0,0,0,0,0
0,0,0,0,0,0,33,46,69,0,0,0,0,0
0,0,0,0,0,0,59,76,97,0,0,0,0,0
0,0,0,0,0,0,33,38,61,0,0,0,0,0
0,0,0,0,0,0,76,98,121,0,0,0,0,0
0,0,0,0,0,0,58,96,121,0,0,0,0,0
0,0,0,0,0,0,56,109,133,0,0,0,0,0
0,0,0,0,0,0,51,74,95,0,0,0,0,0
0,0,0,0,0,0,71,102,126,0,0,0,0,0
0,0,0,0,0,0,75,102,123,0,0,0,0,0
0,0,0,0,0,0,73,108,130,0,0,0,0,0
0,0,0,0,0,0,45,60,81,0,0,0,0,0
0,0,0,0,0,0,71,115,139,0,0,0,0,0
0,0,0,0,0,0,61,76,102,0,0,0,0,0
0,0,0,0,0,0,55,66,88,0,0,0,0,0
0,0,0,0,0,0,75,88,112,0,0,0,0,0
0,0,0,0,0,0,64,82,102,0,0,0,0,0
0,0,0,0,0,0,62,75,94,0,0,0,0,0
0,0,0,0,0,0,69,83,102,0,0,0,0,0
0,0,0,0,0,0,57,66,91,0,0,0,0,0
0,0,0,0,0,0,41,63,85,0,0,0,0,0
0,0,0,0,0,0,76,99,121,0,0,0,0,0
0,0,0,0,0,0,41,50,74,0,0,0,0,0
0,0,0,0,0,0,66,79,103,0,0,0,0,0
0,0,0,0,0,0,25,35,58,0,0,0,0,0
0,0,0,0,0,0,65,85,110,0,0,0,0,0
0,0,0,0,0,0,69,96,116,0,0,0,0,0
0,0,0,0,0,0,66,87,112,0,0,0,0,0
0,0,0,0,0,0,73,92,112,0,0,0,0,0
0,0,0,0,0,0,59,70,94,0,0,0,0,0
0,0,0,0,0,0,60,69,93,0,0,0,0,0
0,0,0,0,0,0,38,44,68,0,0,0,0,0
0,0,0,0,0,0,64,75,102,0,0,0,0,0
0,0,0,0,0,0,56,63,89,0,0,0,0,0
0,0,0,0,0,0,50,56,78,0,0,0,0,0
0,0,0,0,0,0,64,69,94,0,0,0,0,0
0,0,0,0,0,0,30,41,62,0,0,0,0,0
0,0,0,0,0,0,62,84,107,0,0,0,0,0
0,0,0,0,0,0,41,78,104,0,0,0,0,0
0,0,0,0,0,0,64,76,99,0,0,0,0,0
0,0,0,0,0,0,78,86,110,0,0,0,0,0
0,0,0,0,0,0,62,67,88,0,0,0,0,0
0,0,0,0,0,0,53,58,77,0,0,0,0,0
0,0,0,0,0,0,49,54,79,0,0,0,0,0
0,0,0,0,0,0,63,71,94,0,0,0,0,0
0,0,0,0,0,0,51,56,78,0,0,0,0,0
0,0,0,0,0,0,62,78,103,0,0,0,0,0
0,0,0,0,0,0,51,74,98,0,0,0,0,0
0,0,0,0,0,0,49,65,93,0,0,0,0,0
0,0,0,0,0,0,69,90,114,0,0,0,0,0
0,0,0,0,0,0,72,92,115,0,0,0,0,0
0,0,0,0,0,0,48,56,81,0,0,0,0,0
0,0,0,0,0,0,26,40,65,0,0,0,0,0
0,0,0,0,0,0,41,52,78,0,0,0,0,0
0,0,0,0,0,0,72,105,129,0,0,0,0,0
0,0,0,0,0,0,72,83,104,0,0,0,0,0
