 UNKNOWN: 0, SYSTEMCALL: 0, USERMODE: 0, BLOCKED_IO: 0, BLOCKED_CPU: 0, BLOCKED_WAITKERNEL: 0,BLOCKED_WAITPROCESS: 0, BLOCKED_FOR_FUTEX: 0, BLOCKED_CPU_FUTEX: 0, TRASH: 0
0,11543827,296340801,0,57584588,23171272,132770325,0,0,0
0,1218267,16356346,0,6868424,49736,3023459,0,0,0
0,1025228,16651586,0,4347893,0,1495592,0,0,0
0,1107269,18153713,0,15009789,0,1830094,0,0,0
0,982541,16056088,0,3301504,0,1849785,0,0,0
0,1120122,17374648,0,6301924,50036,2060465,0,0,0
0,1006544,14964077,0,3944393,49694,850116,0,0,0
0,1396772,19711076,0,8002874,39289,5858694,0,0,0
0,1350236,19691440,0,5885108,49112,3090446,0,0,0
0,1392741,21035632,0,7054776,48873,3160511,0,0,0
0,1169875,19361719,0,7321943,50157,6849007,0,0,0
0,1055386,17226088,0,2399952,48597,1697756,0,0,0
0,1102852,18708087,0,13982403,48366,1399912,0,0,0
0,1118012,19523336,0,8238764,51053,1015805,0,0,0
0,1059516,18697813,0,5971495,0,523654,0,0,0
0,1217673,21142781,0,5028058,47940,618369,0,0,0
0,1140815,20043200,0,3704097,48560,2375942,0,0,0
0,1212490,18872576,0,12034523,0,2108522,0,0,0
0,1206238,20577204,0,13242414,0,4162906,0,0,0
0,1208493,22116115,0,11930943,48468,722771,0,0,0
0,1230816,22470177,0,12476691,48441,7767982,0,0,0
0,1219874,19473346,0,19869847,0,3484674,0,0,0
0,1192776,18982567,0,9510849,46820,1394077,0,0,0
0,1004182,20009679,0,7283572,49594,1367594,0,0,0
0,1290562,20951922,0,14549417,48028,530864,0,0,0
0,1408047,21192997,0,8427269,0,1277794,0,0,0
0,1474892,20710374,0,26775185,49443,2150759,0,0,0
0,1176476,18697402,0,9422709,0,3143613,0,0,0
0,1377852,21680513,0,17140692,0,6592772,0,0,0
0,1111348,19772997,0,6881225,48494,147980,0,0,0
0,1037319,16678229,0,4363885,49036,562547,0,0,0
0,1089794,17650175,0,5925596,0,8004262,0,0,0
0,1036839,17109681,0,4370763,0,898644,0,0,0
0,1032386,18356487,0,6050214,0,1285824,0,0,0
0,1300064,19319008,0,6348768,0,11726800,0,0,0
0,1187263,20469747,0,14912807,0,486851,0,0,0
0,1351916,21255822,0,12201343,0,1142381,0,0,0
0,1238935,20275619,0,14085857,0,1003610,0,0,0
0,1074962,17123265,0,7097143,0,2642524,0,0,0
0,1223320,20452935,0,5825814,49328,804546,0,0,0
0,921539,16962838,0,4264061,48615,839219,0,0,0
0,996508,17077967,0,5957239,49886,1375961,0,0,0
0,1109926,19351161,0,26370794,0,603095,0,0,0
0,1289619,19977269,0,20047574,0,1234536,0,0,0
0,1219218,20382091,0,7984711,0,432506,0,0,0
0,1263105,21220083,0,34964436,0,2442241,0,0,0
0,1182334,20577170,0,7726878,51147,552072,0,0,0
0,1192975,20813640,0,57029709,0,1019075,0,0,0
0,1205534,19573973,0,17288185,0,309055,0,0,0
0,1048774,19427614,0,8573363,49832,1257184,0,0,0
0,1014367,19415967,0,5269090,48732,282027,0,0,0
0,1004395,19361060,0,28583458,0,476553,0,0,0
0,1367157,20983450,0,24994149,48166,1630827,0,0,0
0,1291762,22614296,0,17580844,48841,488063,0,0,0
0,1158686,19599070,0,29238813,0,2461442,0,0,0
0,1334371,19972075,0,29513631,0,2489935,0,0,0
0,1243921,20484397,0,45369038,0,6167519,0,0,0
0,1141365,19179547,0,18002811,46051,112931,0,0,0
0,1131049,19841625,0,5863045,48963,2605509,0,0,0
0,1195806,19428450,0,27517456,22381,7525284,0,0,0
0,1122620,19461583,0,23799667,0,823107,0,0,0
0,1187419,19815141,0,39252181,0,419434,0,0,0
0,1179498,18880201,0,31619945,0,1015535,0,0,0
0,1269339,20377882,0,28469301,0,1059561,0,0,0
0,1008710,18662931,0,7964428,0,244046,0,0,0
0,1392083,19342911,0,18884286,0,15363161,0,0,0
0,1379289,20921469,0,23275857,0,11895566,0,0,0
0,1379497,21820263,0,30015999,0,11940472,0,0,0
0,1627295,22167602,0,31695301,0,12476425,0,0,0
0,1364065,19898407,0,26658056,0,12677233,0,0,0
0,1459053,19653607,0,26160323,0,34362496,0,0,0
0,1211696,19082774,0,38719414,0,7529852,0,0,0
0,1309430,18186725,0,9714783,0,27490779,0,0,0
